,ruleId,severity,message,line,column,nodeType,messageId,endLine,endColumn,filePath
609,complexity,2,Method 'iterN' has a complexity of 3. Maximum allowed is 1.,7,91292,FunctionExpression,complex,7,91359,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
610,complexity,2,Method 'removeInner' has a complexity of 8. Maximum allowed is 1.,7,91426,FunctionExpression,complex,7,91860,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
611,complexity,2,Method 'collapse' has a complexity of 2. Maximum allowed is 1.,7,91870,FunctionExpression,complex,7,91950,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
612,complexity,2,Method 'insertInner' has a complexity of 6. Maximum allowed is 1.,7,91963,FunctionExpression,complex,7,92365,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
613,complexity,2,Method 'maybeSpill' has a complexity of 4. Maximum allowed is 1.,7,92377,FunctionExpression,complex,7,92730,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
614,complexity,2,Method 'iterN' has a complexity of 5. Maximum allowed is 1.,7,92737,FunctionExpression,complex,7,92923,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
615,complexity,2,Function has a complexity of 4. Maximum allowed is 1.,7,92932,FunctionExpression,complex,7,93027,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
616,complexity,2,Function 'wo' has a complexity of 4. Maximum allowed is 1.,7,93028,FunctionDeclaration,complex,7,93108,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
617,complexity,2,Function has a complexity of 7. Maximum allowed is 1.,7,93127,FunctionExpression,complex,7,93424,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
618,complexity,2,Function has a complexity of 4. Maximum allowed is 1.,7,93446,FunctionExpression,complex,7,93670,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
619,complexity,2,Function 'So' has a complexity of 34. Maximum allowed is 1.,7,93755,FunctionDeclaration,complex,7,95471,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
620,complexity,2,Function has a complexity of 4. Maximum allowed is 1.,7,93895,FunctionExpression,complex,7,94047,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
621,complexity,2,Function has a complexity of 9. Maximum allowed is 1.,7,94691,FunctionExpression,complex,7,94962,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
622,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,94809,FunctionExpression,complex,7,94904,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
623,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,95000,FunctionExpression,complex,7,95029,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
624,complexity,2,Function has a complexity of 30. Maximum allowed is 1.,7,95490,FunctionExpression,complex,7,96381,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
625,complexity,2,Function has a complexity of 11. Maximum allowed is 1.,7,96400,FunctionExpression,complex,7,96675,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
626,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,96697,FunctionExpression,complex,7,97025,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
627,complexity,2,Function has a complexity of 5. Maximum allowed is 1.,7,96770,FunctionExpression,complex,7,97023,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
628,complexity,2,Function has a complexity of 6. Maximum allowed is 1.,7,97050,FunctionExpression,complex,7,97262,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
629,complexity,2,Function has a complexity of 4. Maximum allowed is 1.,7,97287,FunctionExpression,complex,7,97458,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
630,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,97473,FunctionExpression,complex,7,97561,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
631,complexity,2,Function 'To' has a complexity of 2. Maximum allowed is 1.,7,97668,FunctionDeclaration,complex,7,97919,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
632,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,97693,FunctionExpression,complex,7,97894,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
633,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,97938,FunctionExpression,complex,7,98083,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
634,complexity,2,Function has a complexity of 5. Maximum allowed is 1.,7,98166,FunctionExpression,complex,7,98664,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
635,complexity,2,Method 'iter' has a complexity of 2. Maximum allowed is 1.,7,98714,FunctionExpression,complex,7,98809,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
636,complexity,2,Method 'insert' has a complexity of 2. Maximum allowed is 1.,7,98817,FunctionExpression,complex,7,98912,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
637,complexity,2,Method 'getValue' has a complexity of 3. Maximum allowed is 1.,7,98977,FunctionExpression,complex,7,99083,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
638,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,99096,FunctionExpression,complex,7,99301,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
639,complexity,2,Method 'replaceRange' has a complexity of 2. Maximum allowed is 1.,7,99316,FunctionExpression,complex,7,99377,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
640,complexity,2,Method 'getRange' has a complexity of 3. Maximum allowed is 1.,7,99387,FunctionExpression,complex,7,99487,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
641,complexity,2,Method 'getLine' has a complexity of 2. Maximum allowed is 1.,7,99496,FunctionExpression,complex,7,99553,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
642,complexity,2,Method 'getLineHandle' has a complexity of 2. Maximum allowed is 1.,7,99568,FunctionExpression,complex,7,99612,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
643,complexity,2,Method 'getLineHandleVisualStart' has a complexity of 2. Maximum allowed is 1.,7,99678,FunctionExpression,complex,7,99737,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
644,complexity,2,Method 'getCursor' has a complexity of 7. Maximum allowed is 1.,7,99917,FunctionExpression,complex,7,100050,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
645,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,100180,FunctionExpression,complex,7,100253,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
