module,efferent_coupling,afferent_coupling,instability
/lib/utilities/Logger.js,1,1,0.5
/lib/utilities/index.js,3,5,0.375
/lib/utilities/deepmerge.js,1,1,0.5
/lib/usecases/user/index.js,1,1,0.5
/lib/usecases/user/CreateOrUpdateUser.js,2,1,0.6666666666666666
/lib/usecases/tag/index.js,5,1,0.8333333333333334
/lib/usecases/tag/GetTagUseCase.js,2,1,0.6666666666666666
/lib/usecases/tag/GetLogsByTagUseCase.js,2,1,0.6666666666666666
/lib/usecases/tag/GetAllTagsUseCase.js,2,3,0.4
/lib/usecases/tag/DeleteTagUseCase.js,2,1,0.6666666666666666
/lib/usecases/tag/CreateTagUseCase.js,2,1,0.6666666666666666
/lib/usecases/subsystem/index.js,5,1,0.8333333333333334
/lib/usecases/subsystem/GetSubsystemUseCase.js,2,1,0.6666666666666666
/lib/usecases/subsystem/GetLogsBySubsystemUseCase.js,2,1,0.6666666666666666
/lib/usecases/subsystem/GetAllSubsystemsUseCase.js,2,1,0.6666666666666666
/lib/usecases/subsystem/DeleteSubsystemUseCase.js,2,1,0.6666666666666666
/lib/usecases/subsystem/CreateSubsystemUseCase.js,2,1,0.6666666666666666
/lib/usecases/server/index.js,2,1,0.6666666666666666
/lib/usecases/run/UpdateRunTagsUseCase.js,3,1,0.75
/lib/usecases/run/StartRunUseCase.js,3,1,0.75
/lib/usecases/run/index.js,7,1,0.875
/lib/usecases/run/GetRunUseCase.js,2,3,0.4
/lib/usecases/run/GetRunByRunNumberUseCase.js,2,3,0.4
/lib/usecases/run/GetLogsByRunUseCase.js,2,1,0.6666666666666666
/lib/usecases/run/GetFlpsByRunUseCase.js,1,1,0.5
/lib/usecases/run/GetAllRunsUseCase.js,2,1,0.6666666666666666
/lib/usecases/run/EndRunUseCase.js,2,1,0.6666666666666666
/lib/usecases/log/index.js,6,2,0.75
/lib/usecases/log/GetLogUseCase.js,2,3,0.4
/lib/usecases/log/GetLogTreeUseCase.js,3,1,0.75
/lib/usecases/log/GetLogAttachmentUseCase.js,1,1,0.5
/lib/usecases/log/GetAllLogsUseCase.js,2,2,0.5
/lib/usecases/log/GetAllLogAttachmentsUseCase.js,1,1,0.5
/lib/usecases/log/CreateLogUseCase.js,6,1,0.8571428571428571
/lib/usecases/index.js,8,1,0.8888888888888888
/lib/usecases/flp/UpdateFlpUseCase.js,4,1,0.8
/lib/usecases/flp/index.js,5,1,0.8333333333333334
/lib/usecases/flp/GetLogsByFlpUseCase.js,2,1,0.6666666666666666
/lib/usecases/flp/GetFlpUseCase.js,2,2,0.5
/lib/usecases/flp/GetAllFlpsUseCase.js,2,1,0.6666666666666666
/lib/usecases/flp/CreateFlpUseCase.js,5,1,0.8333333333333334
/lib/usecases/attachment/index.js,2,1,0.6666666666666666
/lib/usecases/attachment/GetAttachmentUseCase.js,1,1,0.5
/lib/usecases/attachment/CreateAttachmentUseCase.js,1,1,0.5
/lib/server/utilities/index.js,2,1,0.6666666666666666
/lib/server/routers/users.router.js,1,1,0.5
/lib/server/routers/tags.router.js,1,1,0.5
/lib/server/routers/subsystems.router.js,1,1,0.5
/lib/server/routers/settings.router.js,1,1,0.5
/lib/server/routers/runs.router.js,1,1,0.5
/lib/server/routers/overviews.router.js,1,1,0.5
/lib/server/routers/logs.router.js,2,1,0.6666666666666666
/lib/server/routers/index.js,14,1,0.9333333333333333
/lib/server/routers/home.router.js,1,1,0.5
/lib/server/routers/flps.router.js,1,1,0.5
